,SO2,NO2,CO,O3,PM10,PM2.5,CO_model,NO2_model,SO2_model,O3_model,PM2.5_model,PM10_model
2021-10-15 08:00:00,0.5,11.6,190.0,34.4,2.0,0.0,283.9999694824219,6.343749523162843,1.1484373807907104,58.74999618530274,1.4492186307907104,2.039062261581421
2021-10-15 09:00:00,0.7,13.4,180.0,28.5,2.5,0.5,300.9999694824219,8.843749046325684,1.0312498807907104,63.74999618530274,1.3437498807907104,1.8085936307907104
2021-10-15 10:00:00,0.6,12.0,180.0,27.0,3.0,1.0,300.9999694824219,8.593749046325684,1.0312498807907104,64.49999237060547,1.4101561307907104,1.8085936307907104
2021-10-15 11:00:00,0.6,10.3,180.0,28.9,3.0,1.0,300.9999694824219,8.249999046325684,1.2968748807907104,61.62499618530274,1.5468748807907104,2.031249761581421
2021-10-15 12:00:00,0.6,13.8,190.0,29.7,2.0,2.0,303.9999694824219,7.890624523162843,1.8046873807907104,57.24999618530274,1.5742186307907104,2.124999761581421
2021-10-15 13:00:00,0.7,15.1,180.0,30.3,1.0,3.0,330.9999694824219,10.374999046325684,2.093749761581421,52.99999618530274,1.4218748807907104,2.007812261581421
2021-10-15 14:00:00,0.6,16.1,180.0,32.6,1.0,3.0,377.9999694824219,15.624999046325685,1.8203123807907104,57.24999618530274,0.9746093153953552,1.5117186307907104
2021-10-15 15:00:00,0.7,16.7,170.0,36.4,1.5,1.5,413.9999694824219,19.937498092651367,1.6249998807907104,65.24999237060547,0.9355468153953552,1.4648436307907104
2021-10-15 16:00:00,0.6,18.9,160.0,40.8,2.0,0.0,440.9999694824219,19.562498092651367,1.5976561307907104,72.24999237060547,1.0429686307907104,1.6484373807907104
2021-10-15 17:00:00,0.4,12.6,170.0,44.9,2.0,0.0,420.9999694824219,13.374999046325685,1.6249998807907104,75.24999237060547,1.1328123807907104,1.7968748807907104
2021-10-15 18:00:00,0.4,11.3,170.0,54.9,1.5,-2.0,373.9999694824219,7.890624523162843,1.5976561307907104,78.74999237060547,1.0820311307907104,1.7382811307907104
2021-10-15 19:00:00,0.5,13.8,220.0,78.1,1.0,-4.0,343.9999694824219,5.921874523162843,1.6093748807907104,77.24999237060547,1.0624998807907104,1.7304686307907104
2021-10-15 20:00:00,0.6,12.7,260.0,70.2,1.0,-4.0,340.9999694824219,6.515624523162843,1.4921873807907104,73.74999237060547,0.8183593153953552,1.3593748807907104
2021-10-15 21:00:00,0.3,7.6,180.0,67.7,1.5,-3.0,317.9999694824219,6.265624523162843,1.3281248807907104,71.74999237060547,0.5019530653953552,0.8085936903953552
2021-10-15 22:00:00,0.4,4.7,160.0,64.5,2.0,-2.0,303.9999694824219,5.453124523162842,1.1796873807907104,70.24999237060547,0.5019530653953552,0.7363280653953552
2021-10-15 23:00:00,0.7,3.1,150.0,67.3,2.0,-2.0,300.9999694824219,4.937499523162842,1.1953123807907104,72.99999237060547,0.5019530653953552,0.7285155653953552
2021-10-16 00:00:00,0.5,3.2,150.0,75.2,2.0,-1.5,300.9999694824219,4.765624523162842,1.2539061307907104,72.24999237060547,0.5019530653953552,0.7265624403953552
2021-10-16 01:00:00,0.5,2.1,150.0,80.5,2.0,-1.0,287.9999694824219,2.210937261581421,1.2539061307907104,70.24999237060547,0.5019530653953552,0.7089843153953552
2021-10-16 02:00:00,0.2,1.2,160.0,73.5,2.0,-1.0,290.9999694824219,2.320312261581421,1.2851561307907104,70.99999237060547,0.5019530653953552,0.7011718153953552
